index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
10,0x8F488eb5720314bC2C0Dc4cc3A3219E2169C1950,0xecebceb44b85d70,"[0x0236622ca341f75d63670d40b28e9a4fcb1b823eb0753746d47611a88b6e547b,0x4b02733bbc2581b6f2adffaa802a77d19b80ecc0b831595952ab939d01cd457c,0x50cc1cdc5cb81f2cce2739930f357e48a574fce5625eed5397720497fd2fbe0e,0xd5277d1011daf5b64ede201747c1386a9454e9612b0868d73193b66576c3f7df,0xcbed15bd17afaeeb4257edadaaf2f6823fd7d0061056a712977313407a43d423,0xdd82bdb42db7301ecee5d184fbffbdcd7d1dc64f43fe618eeba466c1356c4fd2,0x0282da413887f1e1421c5a0c8108e3b0d213b13dafe9d9f7bc44068f775f1c79,0xb3d498c9c35abb1acf28ddfbac05789d42d34bba8975c1f2779ef40063274dd0,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",1.0670 LDO
11,0x5D6eE40167B0FDDaD44F307d3d1AE6a58D6f4953,0xf0b38ae8ea2e330,"[0x5aa6f41ab6de52a238124beeeaf99812564315d0ffbd4c61bddd77f4c3e65276,0xfcb05569d7590cca200dfd6f289f3c087600317db48aeb84c735ead9730d4f66,0xbc285d83130b15e8438193c879e814ccc13a8f507b0c5be579c7ef43902140a5,0x55ec62879cfb81c7182b56eb6a0c97b6b4307203482f362ab4c08adf6c4627ce,0x5bd28c0f001a0df0a40452281f518d06ce798d75cdbe085affcce74b05fdf9fd,0x76367249c03b736e34126d74b97c1c7e46d4e683455592c7bd35dadfdc61aeab,0xbec1a548b7d591b2071e16ff27e08477239d24ac0aca79254f164b37bd658f44,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",1.0840 LDO
12,0x9883a8b0f58b662D60847Db992E66591E2EdE106,0x14703d01b038040c,"[0xf17cd6875fcf67a3166f010ea2eb1026eadd0bd427716a798f27bdaed393e8e1,0x2d1c60debe67dc9f4e18472f3108cadeec9590a750b7717032a0eef48a304f8a,0x1afbefd1514088e143b85dc5abc41a2f1c6ca9c3f6bf951e3e7eb10819209b53,0xdeeec9a2a01b8528bd032311267fb7893ac7740e2c9ef4aa9e73586258bfcaeb,0x9ebaa50a9978871a1a40b45eca1d2008a2bfe8467bf4863f915566e729ba63dc,0x1e41e50a157a90231f69bcbf5f855d8adab6dc8a1f26a761e72152ffc1293a4f,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",1.4727 LDO
13,0xBEB517d0d822598f8e3A5853fa80156b72Aa60cF,0x1568d01773fa1e34,"[0x8a62ca673f4e1b09654523cc1117ed2f55dd414bb1e802bc9b376174a258dc93,0xa2cf063dcc2293ee06d32ace135655237f0dc4c24412aa24461d041e0aea325c,0x6cc782d2073d8d26cf87a8dbebec36f6796e886af6253230b9b2ab67fdc50635,0xeabf0f68f9f47db40debce3b7bbc8aa6b9547e94f18cbef21e16e52fff531d64,0x0da0a58ca88daf1d95c011d20b343922150a69f6f8996b937f6f4bff7ee1e398,0xa1870e1c72ea5de02ab3648adbf2dbbb86a0e753099626c84c23c2cccfee45f5,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",1.5427 LDO
14,0xADf598426C9cbE569733e5aBA7fC2a71909b4A06,0x2105dc2ca525c716,"[0x863cf222f8cf89ddc2a70dde3772dbb246c04b6fc4af18468d0a77901b497b50,0x65f9912c2cd288d463daab69409b36a1b9d4513b174efc9ef80f6793539a86be,0x7a107310227a15fb14dd96a36fe20b4aa717a30fd06a4a69c639a52aeaede648,0x576acc85c64380278fd17895fe104e396eaba74bedca28267aedbc1131801f39,0x7b0019ded3cca04f21746a3e1cf2214751e292cc7c9d4b366f7ae5c434be5916,0xa1870e1c72ea5de02ab3648adbf2dbbb86a0e753099626c84c23c2cccfee45f5,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",2.3796 LDO
15,0xC12491DD27eB838a99164C207Bda15F15352dAC3,0x2107e71d6f421eb0,"[0xfddb5b2e383315f69269601357c8031acfa3c6b2831de08cf6128ca53546f72f,0x444026536e37f58e8a7cec5b7c4b2da85b9e1675e9b889792a3bdc5da60fbd3e,0x0f2b5605f1f2d8da3eadf12e2ae876a90464d6d6241ab7a1dfd26d1d469683fb,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",2.3801 LDO
16,0xc6eAd34620572C0f1c5F27B92dFb9290D50A7986,0x258325424f86f4f2,"[0x61be0307c5bb10d4b3feacbecfef068b88d218de4320e24a5767bc87074147c3,0x5f3fde17e3d6cf585a91b77c85a0c64dc0c67313fc50d0ad20bbc2cd72325a8a,0x3f9c06fbb8baeda0952844d965048974299d994b0c573d9fb99aeb7c0f7792bb,0xe22203a7f7c6ec0a78979bcb3324f8770c64b1d149b5e65bff8aeea18cad5684,0xa9757addc8fb025f9f25733b45ee69dc9e16b4f8c5731f9aa13e7de964880ea3,0x9191e5c67f1d4b35aa985db49d61824518c9abb261eff3633e56c754022961b5,0xbec1a548b7d591b2071e16ff27e08477239d24ac0aca79254f164b37bd658f44,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",2.7030 LDO
17,0x1825E17795dB36D3BE6BAd1efa3343078fe0aEE4,0x25b517cac65f675e,"[0xe4f44449c8eb34dddcb03046621220dd0393a214daa9ba270009880f06e5bf5e,0xd088ed45d8b23c77869052018d447d86f4b34591049e7d22a584de45c1306e8d,0x278ac6f0f5a3a4beeabd991eb9ec71230970a933f563b8da14412f7a85d4840a,0x34e9a850ad63927fe5bbe7552801fec934c933f70b39b78736b6b7dc6ebb8162,0x69a12d6c72310b68e6d0cf99427b3a136e8c45dea2026fdcec278c926326acf2,0x97c62e89908dcbc680b8550695a3da0dade1bf7573f1f449ea758f09cf7b95d6,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",2.7171 LDO
18,0x3a6b675E791Ef91315EeD323f1FBA17A4BFA9A1A,0x2dd7ccd44c4f7e8a,"[0x443d8feffb6607a1491cc035659926fa91c881a5d04bba76e396a8515b03c9f5,0xab86d99bfad57c4915d8b39832f5621fdd8c59426797a4d1219a2f077e75f6e6,0x64e1b05d00ebd0284aa80b982e036bbfc3d61cf6d80c6faa739685fa960f8892,0xfb32ebd0875678e36a25d382d5841753e735048b558a522acd2a128325c8671b,0x966c0b8d139ac014dc95179274561ac3e52b1e443cdfdc308a72a29162687f56,0x1a717c2d089319914ec2c755dbf6dbe3cd804ef23458820f0292dff7a57f1ffc,0x4c4291219b1b5f702e9edfa2c39c4dceec517b20e13b20b7e16e8d80c52daabe,0xb3d498c9c35abb1acf28ddfbac05789d42d34bba8975c1f2779ef40063274dd0,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",3.3033 LDO
19,0x1202FAc487bDFCde4925361eFde8c913cfE00E20,0x2f8a3c552156ea5e,"[0x5be43fd840cde771d36e53953bc54f8cc816c13945da464d35470982f4c3f63f,0x52ed23e7683d12b03ffac794fcc57d1d77b2d521da1ebb2cc31ef6cada076fdb,0xac8bd5eb5256625edec25ee28c48d981898cde5f6d416046bb5ca1bb6a49a282,0x3f2ef0aac21a833259f69be4f20378b579cc9c1ad35a0b97b03ab1e20518ccc6,0xa9757addc8fb025f9f25733b45ee69dc9e16b4f8c5731f9aa13e7de964880ea3,0x9191e5c67f1d4b35aa985db49d61824518c9abb261eff3633e56c754022961b5,0xbec1a548b7d591b2071e16ff27e08477239d24ac0aca79254f164b37bd658f44,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",3.4256 LDO
