index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
10,0xBCFdd607b270d874F5a2A4ce1abCB17c455E0f21,0x5362dfe3a5d4bc,"[0x646e5d2fee11b1012a417df5e2e7b56044a802e9df1ca7e25f7b4362d6c775f7,0x9318f30ba215b480eb2a4d4463cabc4f71d3d03e2462b3d57f41467c13389a77,0x52482edf0ffb3496697da351261f6d64c32900419840c8ef0b77598fdd478f6a,0x606273cb4a8c176fb43b6c47595493d5a62ab52a1f35194232498e4803937a29,0x9c3e0e67be4fd3dc6321c569087a54029b34623c53605c95f801ad8c20ed8a38,0x105280d49991e5a54bc2281762a0f00e39bedaf80f4f19ec2c64c13f173859c6,0x843492c12a5e23bce0747fc5a5aad2d692118c062cb661301d9b3cc7633095bd,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0235 LDO
11,0xD2516a2222aD632B271Bf5A0D50c2482Dfb4123f,0x53e9b64eea4600,"[0x0db6ec66010f6fb08320aa37ffee4178b06e931899b1512ff4afab8d0a4a2bb9,0x473a9b42c85f86cc167504e081897de386a36a876c292f61835575a6b7f3e754,0x7901e17137811b8fb0f80fa3b99d97d0e961e644a7120bdd7fb7b544ab1535be,0x90c2a9b8477e1c4157aa4da8e1302ec5104315b20ea2024661db515887428873,0xaf12abafa1df984e2b01ec22c9d1595b26308b9fd0652ac967c9857aee329d90,0x8f3a708c4d2e76b00811b7a43a4c4b22364c7750bda5d4de29922edefa3265d1,0xa00fb7ad250197ac40e1238cc460fdc5ec2bdf213c14f71737ab18f52e842818,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0236 LDO
12,0xdcA688b9693a0d2f98F4a9E89b978978005B6570,0x53f0713a2ffe30,"[0x00788c24e7beb22553d08f92daa02fd0a3f19d356ed9a0ac10a45a4e7fe559f0,0x8abaa7ddb36df0575b035a48d9f8019bc0448b3bf95d8ad71e7e25943c1c4ad7,0x106dce17e79581942b43d4e587501f49a53b91658f81562014b4c256011189a7,0xacd89e966d281f14fae1809844c56ea111394d5ac87524f8a3efd02d70b39f80,0x78909d3ce204e0c788ff9103fbe1f353b3aa7cec6a242f16e863634818b90d6d,0x0b2d12d6c8a178312590a4de3ed6175a1d9a8bbd1d436c131ab57f2453638df2,0xa00fb7ad250197ac40e1238cc460fdc5ec2bdf213c14f71737ab18f52e842818,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0236 LDO
13,0x7EBf6C693dD590d5B17b6f1B532592173bBa36c4,0x53f0dba8aff924,"[0x3dff7bd8bddee160c3a8098eed3034b686a048f2fdb9a6a663e3d684418e62cb,0x99db7f658d599479b2c603b826a4dd6a342e27382ab8191b2853595ca3b4da81,0x4b1f7f92616083b33b5581caeea27a4b7d57d5007ac162967d15dbbebafbe917,0x8edda5aec1d6910708738b50f72ad9bf19e93051c835bbfee7f88301ad5edb82,0xafcabeb53c2f773dbe4c156109dec1bc6925898e3fac65244d46aee2face76d7,0x13241cf14024c2ea0c19fea8aee6be32e2af2c722b1ee0718f93a6e695a60edb,0x3fea9c8ede70cdf0d3fe28c0f9432d81c16df590301ce47cde7591a9051bdac1,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0236 LDO
14,0xb1c2f394c7c8BEDb2127f581781cee0053C8070e,0x5467f43af97c40,"[0xb6d4ee8656f43560314473ea3620067d5715e7ad1db1f1377ffd16e03787f702,0x3bffd069feb606e86b7b237b0d7555b0c2da667b90b185f6502bf371acb52d6f,0x2fcb1f7001172621a3a5393ea86e7dcc016dcf870e0d086e6ee5585477666daf,0x4a9e2f5160f1b576bed4b0600e1ae43fcc948cc56e6794e8ba9857e0bc458d47,0xf183a12693dce727b1a595840f1017ad830d5fce78c6ba83f159432b7cf15def,0xb9f235c43a09e01920e9b8d12d6b3b3dcfaf2ea1693924d4e7a9f94eb2bdc6cb,0x6c0f661f7c623f8f129a1de10f92427a86090940c718aebf93aea11745bb2d8b,0xf8b52d9c2af604b7dc89988d1cf40a388e0941e223f80f761e9a2e5bc61d52d6,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0238 LDO
15,0x788aCDd2a4502f9c062219De1A3Ff5f21dF3Badd,0x5a647cb730c850,"[0x92dfd96f68040876eecb5946ae3103ae2bb1e335c5c8c08c38d88c453515c96c,0xe1ce1b810623123b28bb2280bfbbffadbec290a4d3e9d0db5eabcec8eef21660,0x137fc8c0eaae929ae9ad785a770fa01d5b5204616ba4ac4e8cc554536306dd81,0xf29b0b7a3bd08943c6bd9725ecefcb851bd02d786a60a0ec3bcd5d2c52ea4b56,0xb149623d0fa90de3d20554f9f4f775386517c8366bd35eb1950cf94f43cedada,0x87f9ff86912a5ef1d1e5c2273056ea7555cee6a734bb739d59fe21ac708c8f2f,0xed6b21986c75b0ded468aac47636b7ecf4f88b24d13109ecc8017b53ac124468,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0254 LDO
16,0x8b0BcE85F0125B1816d49bE692E5a3FdEAEA6BE4,0x63b8c88d89d24c,"[0xd636d36487eacba815aa5445a45670b0d26952431c11fb3ff1d5e2693422ceac,0xca575f39e0c31c50fb96e1d04a9a7f7c05946aee2159e71a95c0e0fa868ed996,0x241b03a4c55959c8988088ec4efb35a137a3029ee654a49a6ff3df309925a39c,0x4af8f9ad67489bb8130b3605d19d2c49934ad8a6b48a855d27db8e3715b000fc,0xcca76d685e039633078fe409a8a1438a43017815db3f44c26ba692d5155b5165,0x6edfad579184a0900f4d86e61528707762e1d9413d603fbb85f5ae786ab82387,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0281 LDO
17,0x7995ac79aadB0F5e911e9c12582e2C81Ac9B8D2d,0x65feb07b172950,"[0x1d118b04075b74a5e4501417482296675fe4477394cd3613aae11d270bd66182,0xb0a75ffad265e010b739cb0940f07e6a582d776b78aeef9c63758b5fe0a0e523,0x654c1a8e7e3d8ff2d64c14d02fe6eeb091b7aa305dfdac48cec153fc6efda048,0x25a83883b9198feed9c8926bd3eccbd5e91e851aea3213a89db90e816374ba2b,0x020a6879dbdbd0f82ddb83d004730153668f94d0f6a4a09482e14752e4c7b49a,0x0ea64428b4da171f99867ce0ecf640660a8f71ff638cfdf3bfdedb3c510c0ba3,0x9e4832dec37b678184e2d5ec111fbe9b815125a45083c0fda81a8c5c9a707abd,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0287 LDO
18,0xC323579307adF07DbE6c3D2d7a44eCBd8c672945,0x750a54d2995008,"[0xfddfadfb2664c75da00971db03eb0c50d634694a838f69746bdc988fb6b45d24,0x9b24f8ce298849fb8110c01a3e3c46da5cbf1abc2e6a6dfd86c3ea2a1513116a,0x68712765dbbbde9524c844676d5a75c6db8559270be937aa2563f28ee25b6650,0x66f1f852126d8a537235d1cfc8840a4cf3358d72ef92dd1009d1545c473faf57,0x57560897313106cbd874dd40ca7015449edb81d35a35361510790b80b60d3e6f,0x3651d021f1ae7d52511201af063271ac1c824bcc1a53dd8377805c9f1de1f3dc,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0329 LDO
19,0x42E639c53a3604e06E04c20F5332EfA8a33029F8,0x7ab43bd0e80de8,"[0x52dde689a90a81d67e5f4e15217b6d1660360fa078d1fb1d82e495c8b07b51e3,0x4f0ca7a26a73a23e785b83cf3ee71c4cc2213012666d297401e4726196b22f3a,0xe2ae2a69d736bac7e9e03b513923c2d1849e293b965af9fe952dfddeb7f7eee8,0x0999610723435ddfb92dd0084987cad0b6ef25efa15fbd7be8fbfc4a70867d52,0xc29172eab5ca8d3ce8609c5713bdd8373965b914304d790c1b483a74a9b3518f,0xd5f4d38bd771c397bad3f65128d7d0b8d0a904fe92f9f766e6e4b8e67fdbf1b6,0x843492c12a5e23bce0747fc5a5aad2d692118c062cb661301d9b3cc7633095bd,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0345 LDO
